"timestamp","ticker","price","time","diff"
"1718","AAPL","205.70806884765625","1782202274460","1"
"1719","AAPL","206.35247802734372","1782202274474","1"
"1720","AAPL","225.61561584472656","1782202274484","1"
"1721","AAPL","232.3869781494141","1782202274494","1"
"1722","AAPL","208.0180511474609","1782202274504","1"
"1723","AAPL","223.0479736328125","1782202274514","1"
"1724","AAPL","224.8246612548828","1782202274524","1"
"1725","AAPL","219.26634216308597","1782202274534","1"
"1726","AAPL","227.16709899902344","1782202274544","1"
"1727","AAPL","223.9908905029297","1782202274554","1"
"1728","AAPL","225.1125030517578","1782202274564","1"
"1729","AAPL","234.7204742431641","1782202274574","1"
"1730","AAPL","224.2291412353516","1782202274584","1"
"1731","AAPL","225.5191345214844","1782202274594","1"
"1732","AAPL","233.56771850585935","1782202274604","1"
"1733","AAPL","238.0689392089844","1782202274614","1"
"1734","AAPL","256.5608215332031","1782202274624","1"
"1735","AAPL","242.30194091796875","1782202274634","1"
"1736","AAPL","226.81089782714844","1782202274644","1"
"1737","AAPL","222.4090118408203","1782202274654","1"
"1738","AAPL","231.32208251953125","1782202274664","1"
"1739","AAPL","226.45346069335935","1782202274674","1"
"1740","AAPL","245.74156188964844","1782202274684","1"
"1741","AAPL","215.8395538330078","1782202274694","1"
"1742","AAPL","211.57208251953125","1782202274704","1"
"1743","AAPL","222.67344665527344","1782202274714","1"
"1744","AAPL","193.2489318847656","1782202274724","1"
"1745","AAPL","192.14476013183597","1782202274734","1"
"1746","AAPL","204.27069091796875","1782202274744","1"
"1747","AAPL","206.04258728027344","1782202274762","1"
"1748","AAPL","202.0185546875","1782202274774","1"
"1749","AAPL","195.6737060546875","1782202274784","1"
"1750","AAPL","199.5084991455078","1782202274794","1"
"1751","AAPL","209.120361328125","1782202274804","1"
"1752","AAPL","210.30567932128903","1782202274814","1"
"1753","AAPL","213.30377197265625","1782202274824","1"
"1754","AAPL","202.5464630126953","1782202274834","1"
"1755","AAPL","230.23861694335935","1782202274844","1"
"1756","AAPL","229.0719451904297","1782202274854","1"
"1757","AAPL","239.0137939453125","1782202274864","1"
"1758","AAPL","251.59820556640625","1782202274874","1"
"1759","AAPL","257.2920837402344","1782202274884","1"
"1760","AAPL","248.63656616210935","1782202274894","1"
"1761","AAPL","268.2411193847656","1782202274904","1"
"1762","AAPL","269.2781982421875","1782202274914","1"
"1763","AAPL","266.9639892578125","1782202274924","1"
"1764","AAPL","285.6592712402344","1782202274934","1"
"1765","AAPL","277.3746643066406","1782202274944","1"
"1766","AAPL","273.2523498535156","1782202274954","1"
"1767","AAPL","271.3558349609375","1782202274964","1"
"1768","AAPL","255.0561370849609","1782202274974","1"
"1769","AAPL","247.8894500732422","1782202274984","1"
"1770","AAPL","273.4280700683594","1782202274994","1"
"1771","AAPL","264.3364562988281","1782202275004","1"
"1772","AAPL","263.5072326660156","1782202275014","1"
"1773","AAPL","259.6407775878906","1782202275024","1"
"1774","AAPL","251.4083709716797","1782202275034","1"
"1775","AAPL","255.3946990966797","1782202275044","1"
"1776","AAPL","263.15753173828125","1782202275054","1"
"1777","AAPL","279.88214111328125","1782202275064","1"
"1778","AAPL","298.2099914550781","1782202275074","1"
"1779","AAPL","308.3299865722656","1782202275084","1"
"1780","AAPL","301.5400085449219","1782202275094","1"
"1781","AAPL","295.6300048828125","1782202275104","1"
"1718","GOOGL","178.2555389404297","1782202275114","1"
"1719","GOOGL","183.99131774902344","1782202275124","1"
"1720","GOOGL","187.5339813232422","1782202275134","1"
"1721","GOOGL","176.3005828857422","1782202275144","1"
"1722","GOOGL","157.07879638671875","1782202275154","1"
"1723","GOOGL","161.04820251464844","1782202275164","1"
"1724","GOOGL","164.88861083984375","1782202275174","1"
"1725","GOOGL","149.76519775390625","1782202275184","1"
"1726","GOOGL","161.11285400390625","1782202275204","1"
"1727","GOOGL","165.93211364746094","1782202275214","1"
"1728","GOOGL","164.41184997558594","1782202275224","1"
"1729","GOOGL","161.89784240722656","1782202275234","1"
"1730","GOOGL","175.39181518554688","1782202275244","1"
"1731","GOOGL","174.1894989013672","1782202275254","1"
"1732","GOOGL","167.87969970703125","1782202275264","1"
"1733","GOOGL","194.3846893310547","1782202275274","1"
"1734","GOOGL","187.4210662841797","1782202275284","1"
"1735","GOOGL","190.24632263183597","1782202275294","1"
"1736","GOOGL","194.53390502929688","1782202275304","1"
"1737","GOOGL","196.95127868652344","1782202275314","1"
"1738","GOOGL","194.3946533203125","1782202275324","1"
"1739","GOOGL","182.81512451171875","1782202275334","1"
"1740","GOOGL","166.14219665527344","1782202275344","1"
"1741","GOOGL","162.10076904296875","1782202275354","1"
"1742","GOOGL","162.14059448242188","1782202275364","1"
"1743","GOOGL","156.43380737304688","1782202275374","1"
"1744","GOOGL","144.11390686035156","1782202275384","1"
"1745","GOOGL","154.7207794189453","1782202275394","1"
"1746","GOOGL","150.76686096191406","1782202275404","1"
"1747","GOOGL","165.51687622070313","1782202275414","1"
"1748","GOOGL","171.16390991210938","1782202275424","1"
"1749","GOOGL","175.58908081054688","1782202275434","1"
"1750","GOOGL","166.2956085205078","1782202275444","1"
"1751","GOOGL","176.28709411621094","1782202275454","1"
"1752","GOOGL","184.53355407714844","1782202275464","1"
"1753","GOOGL","191.35411071777344","1782202275474","1"
"1754","GOOGL","200.84703063964844","1782202275484","1"
"1755","GOOGL","201.3855133056641","1782202275494","1"
"1756","GOOGL","206.55075073242188","1782202275504","1"
"1757","GOOGL","233.5829620361328","1782202275514","1"
"1758","GOOGL","251.53782653808597","1782202275524","1"
"1759","GOOGL","244.14230346679688","1782202275534","1"
"1760","GOOGL","244.97067260742188","1782202275544","1"
"1761","GOOGL","268.7441711425781","1782202275554","1"
"1762","GOOGL","276.9980163574219","1782202275564","1"
"1763","GOOGL","292.2382202148437","1782202275574","1"
"1764","GOOGL","319.5547790527344","1782202275594","1"
"1765","GOOGL","308.887939453125","1782202275604","1"
"1766","GOOGL","313.1024475097656","1782202275614","1"
"1767","GOOGL","313.4420166015625","1782202275624","1"
"1768","GOOGL","335.53326416015625","1782202275634","1"
"1769","GOOGL","327.5036926269531","1782202275644","1"
"1770","GOOGL","308.5982971191406","1782202275654","1"
"1771","GOOGL","314.5705261230469","1782202275664","1"
"1772","GOOGL","311.354736328125","1782202275674","1"
"1773","GOOGL","300.8203125","1782202275684","1"
"1774","GOOGL","290.2666320800781","1782202275694","1"
"1775","GOOGL","295.59344482421875","1782202275704","1"
"1776","GOOGL","335.81939697265625","1782202275714","1"
"1777","GOOGL","385.4597778320313","1782202275724","1"
