"timestamp","ticker","price","volume","source","time","diff"
"1718","MSFT","442.8207092285156","34187100.0","simulated","1781956287790","1"
"1718","AAPL","207.87924194335938","86172500.0","simulated","1781956287790","1"
"1718","GOOGL","174.95101928710938","20160100.0","simulated","1781956287790","1"
"1718","AAPL","205.70806884765625","241805100.0","simulated","1781956287790","1"
"1718","MSFT","438.80389404296875","19877400.0","simulated","1781956287790","1"
"1718","GOOGL","178.2555389404297","57759000.0","simulated","1781956287790","1"
"1718","GS","439.7862548828125","2080600.0","simulated","1781956287790","1"
"1718","GS","432.2300720214844","3780800.0","simulated","1781956288080","1"
"1718","JPM","190.4627685546875","8731100.0","simulated","1781956288090","1"
"1718","JPM","188.19068908691406","20972100.0","simulated","1781956288098","1"
"1719","MSFT","453.64068603515625","9932800.0","simulated","1781956288108","1"
"1719","GOOGL","183.99131774902344","18848900.0","simulated","1781956288118","1"
"1719","MSFT","445.8432312011719","14806300.0","simulated","1781956288128","1"
"1719","MSFT","449.6632385253906","17662800.0","simulated","1781956288138","1"
"1719","MSFT","440.7433776855469","15913700.0","simulated","1781956288148","1"
"1719","MSFT","443.97259521484375","16413400.0","simulated","1781956288158","1"
"1719","MSFT","440.0345458984375","28362300.0","simulated","1781956288168","1"
"1719","AAPL","206.35247802734375","80727000.0","simulated","1781956288178","1"
"1719","AAPL","218.37831115722656","58046200.0","simulated","1781956288188","1"
"1719","AAPL","214.8885498046875","60402900.0","simulated","1781956288198","1"
"1719","AAPL","211.4185791015625","66213200.0","simulated","1781956288208","1"
"1719","GOOGL","182.4730224609375","19839000.0","simulated","1781956288218","1"
"1719","GOOGL","180.75624084472656","29156600.0","simulated","1781956288228","1"
"1719","GOOGL","182.62185668945313","23130200.0","simulated","1781956288238","1"
"1719","GOOGL","177.84866333007813","18298000.0","simulated","1781956288248","1"
"1719","MSFT","452.1737365722656","13979800.0","simulated","1781956288258","1"
"1719","GOOGL","183.82260131835938","17372500.0","simulated","1781956288268","1"
"1719","GOOGL","181.58981323242188","16006100.0","simulated","1781956288278","1"
"1719","MSFT","445.1639099121094","16507000.0","simulated","1781956288288","1"
"1719","AAPL","207.2744903564453","55549700.0","simulated","1781956288298","1"
"1719","AAPL","208.81117248535156","82542700.0","simulated","1781956288308","1"
"1719","AAPL","212.26132202148438","49772700.0","simulated","1781956288318","1"
"1719","GS","428.1783142089844","2835200.0","simulated","1781956288328","1"
"1719","GS","439.1429748535156","1555900.0","simulated","1781956288338","1"
"1719","JPM","196.96267700195313","10205800.0","simulated","1781956288348","1"
"1719","JPM","193.9044647216797","15307600.0","simulated","1781956288358","1"
"1719","JPM","190.94210815429688","7913500.0","simulated","1781956288378","1"
"1719","GS","443.6651306152344","1882200.0","simulated","1781956288388","1"
"1719","GS","447.0447998046875","1491800.0","simulated","1781956288398","1"
"1719","JPM","200.06883239746094","5560900.0","simulated","1781956288408","1"
"1719","GS","449.2627258300781","993900.0","simulated","1781956288418","1"
"1719","GS","437.6835632324219","2131700.0","simulated","1781956288428","1"
"1719","GS","434.28472900390625","3839700.0","simulated","1781956288438","1"
"1719","AAPL","219.64732360839844","37369800.0","simulated","1781956288448","1"
"1719","JPM","200.20303344726563","7802900.0","simulated","1781956288458","1"
"1719","JPM","189.27398681640625","7758600.0","simulated","1781956288468","1"
"1719","JPM","189.8875732421875","6862500.0","simulated","1781956288478","1"
"1719","JPM","190.66412353515625","9785900.0","simulated","1781956288488","1"
"1719","GOOGL","184.39816284179688","10242100.0","simulated","1781956288498","1"
"1719","GS","445.1725769042969","1850500.0","simulated","1781956288508","1"
"1720","GOOGL","187.5339813232422","15121400.0","simulated","1781956288518","1"
"1720","GOOGL","189.71714782714844","15952500.0","simulated","1781956288528","1"
"1720","GOOGL","184.15011596679688","25625800.0","simulated","1781956288538","1"
"1720","MSFT","447.66461181640625","23111200.0","simulated","1781956288548","1"
"1720","MSFT","446.5323791503906","16324300.0","simulated","1781956288568","1"
"1720","GOOGL","183.65391540527344","22898400.0","simulated","1781956288578","1"
"1720","MSFT","452.42974853515625","17207200.0","simulated","1781956288588","1"
"1720","JPM","200.31947326660156","8328500.0","simulated","1781956288598","1"
"1720","JPM","199.98207092285156","10658100.0","simulated","1781956288608","1"
"1720","GOOGL","187.58360290527344","21035900.0","simulated","1781956288618","1"
"1720","GOOGL","189.14157104492188","20967500.0","simulated","1781956288628","1"
"1720","MSFT","459.0359191894531","18196100.0","simulated","1781956288638","1"
"1720","MSFT","459.0260925292969","12962300.0","simulated","1781956288648","1"
"1720","MSFT","460.3255920410156","16000300.0","simulated","1781956288658","1"
"1720","GS","459.7953186035156","1946000.0","simulated","1781956288668","1"
"1720","GS","453.9769592285156","4525100.0","simulated","1781956288678","1"
"1720","GS","446.28631591796875","2214300.0","simulated","1781956288688","1"
"1720","GS","446.2191162109375","1593800.0","simulated","1781956288698","1"
"1720","GS","460.74578857421875","2727800.0","simulated","1781956288708","1"
"1720","JPM","197.41781616210938","8093100.0","simulated","1781956288720","1"
"1720","JPM","197.78414916992188","8707000.0","simulated","1781956288728","1"
"1720","GS","460.12176513671875","2251400.0","simulated","1781956288738","1"
"1720","JPM","200.15557861328125","9058900.0","simulated","1781956288748","1"
"1720","AAPL","225.61561584472656","64710600.0","simulated","1781956288758","1"
"1720","AAPL","228.5601043701172","53046500.0","simulated","1781956288770","1"
"1720","AAPL","224.3961639404297","60412400.0","simulated","1781956288778","1"
"1720","AAPL","226.716064453125","48076100.0","simulated","1781956288788","1"
"1720","AAPL","230.97914123535156","62627700.0","simulated","1781956288808","1"
"1720","AAPL","225.86346435546875","59085900.0","simulated","1781956288818","1"
"1720","JPM","197.56243896484375","15443400.0","simulated","1781956288828","1"
"1721","AAPL","232.38697814941406","62631300.0","simulated","1781956288838","1"
"1721","JPM","202.75840759277344","5557300.0","simulated","1781956288848","1"
"1721","JPM","202.22817993164063","8095900.0","simulated","1781956288858","1"
"1721","JPM","202.710205078125","7663200.0","simulated","1781956288868","1"
"1721","JPM","201.08102416992188","7119000.0","simulated","1781956288878","1"
"1721","JPM","201.1581573486328","6403800.0","simulated","1781956288888","1"
"1721","JPM","209.0629425048828","11572500.0","simulated","1781956288898","1"
"1721","JPM","202.48846435546875","10719700.0","simulated","1781956288908","1"
"1721","JPM","205.92994689941406","11557000.0","simulated","1781956288918","1"
"1721","GS","472.1040954589844","1489700.0","simulated","1781956288928","1"
"1721","GS","467.29388427734375","1598600.0","simulated","1781956288938","1"
"1721","GS","472.526611328125","2020500.0","simulated","1781956288948","1"
"1721","GS","467.6203918457031","1792500.0","simulated","1781956288958","1"
"1721","GS","479.13226318359375","2249700.0","simulated","1781956288968","1"
"1721","GS","482.9631652832031","3981700.0","simulated","1781956288978","1"
"1721","JPM","204.5996551513672","8027800.0","simulated","1781956288988","1"
"1721","AAPL","222.2547149658203","66034600.0","simulated","1781956288998","1"
"1721","AAPL","226.91439819335938","57345900.0","simulated","1781956289008","1"
"1721","AAPL","222.03662109375","48201800.0","simulated","1781956289018","1"
"1721","AAPL","223.07762145996094","39960300.0","simulated","1781956289028","1"
"1721","JPM","202.42100524902344","12415100.0","simulated","1781956289038","1"
"1721","GS","466.8234558105469","3320200.0","simulated","1781956289048","1"
"1721","GS","482.1566162109375","3908900.0","simulated","1781956289068","1"
"1721","GS","472.6034240722656","3568200.0","simulated","1781956289078","1"
"1721","GS","465.594482421875","2032700.0","simulated","1781956289088","1"
"1721","GOOGL","176.3005828857422","18881900.0","simulated","1781956289098","1"
