timestamp,ticker,price,volume,source
1718,AAPL,205.70806884765625,241805100,simulated
1719,AAPL,206.35247802734372,80727000,simulated
1720,AAPL,225.61561584472656,64710600,simulated
1721,AAPL,232.3869781494141,62631300,simulated
1722,AAPL,208.0180511474609,63516400,simulated
1723,AAPL,223.0479736328125,46414000,simulated
1724,AAPL,224.8246612548828,30299000,simulated
1725,AAPL,219.26634216308597,67180000,simulated
1726,AAPL,227.16709899902344,66781300,simulated
1727,AAPL,223.9908905029297,34044200,simulated
1728,AAPL,225.1125030517578,37245100,simulated
1729,AAPL,234.7204742431641,36254500,simulated
1730,AAPL,224.2291412353516,64370100,simulated
1731,AAPL,225.5191345214844,38328800,simulated
1732,AAPL,233.56771850585935,45986200,simulated
1733,AAPL,238.0689392089844,48137100,simulated
1734,AAPL,256.5608215332031,23234700,simulated
1735,AAPL,242.30194091796875,55740700,simulated
1736,AAPL,226.81089782714844,71759100,simulated
1737,AAPL,222.4090118408203,64126500,simulated
1738,AAPL,231.32208251953125,45067300,simulated
1739,AAPL,226.45346069335935,33115600,simulated
1740,AAPL,245.74156188964844,48013300,simulated
1741,AAPL,215.8395538330078,62547500,simulated
1742,AAPL,211.57208251953125,42432400,simulated
1743,AAPL,222.67344665527344,37094800,simulated
1744,AAPL,193.2489318847656,59732400,simulated
1745,AAPL,192.14476013183597,46742500,simulated
1746,AAPL,204.27069091796875,101010600,simulated
1747,AAPL,206.04258728027344,42496600,simulated
1748,AAPL,202.0185546875,43604000,simulated
1749,AAPL,195.6737060546875,51447300,simulated
1750,AAPL,199.5084991455078,54064000,simulated
1751,AAPL,209.120361328125,50229000,simulated
1752,AAPL,210.30567932128903,48749400,simulated
1753,AAPL,213.30377197265625,46989300,simulated
1754,AAPL,202.5464630126953,75109300,simulated
1755,AAPL,230.23861694335935,37476200,simulated
1756,AAPL,229.0719451904297,44075600,simulated
1757,AAPL,239.0137939453125,54870400,simulated
1758,AAPL,251.59820556640625,42303700,simulated
1759,AAPL,257.2920837402344,49155600,simulated
1760,AAPL,248.63656616210935,33893600,simulated
1761,AAPL,268.2411193847656,41534800,simulated
1762,AAPL,269.2781982421875,49274800,simulated
1763,AAPL,266.9639892578125,45018300,simulated
1764,AAPL,285.6592712402344,53669500,simulated
1765,AAPL,277.3746643066406,38211800,simulated
1766,AAPL,273.2523498535156,23715200,simulated
1767,AAPL,271.3558349609375,27293600,simulated
1768,AAPL,255.0561370849609,72142800,simulated
1769,AAPL,247.8894500732422,39708300,simulated
1770,AAPL,273.4280700683594,34376900,simulated
1771,AAPL,264.3364562988281,42070500,simulated
1772,AAPL,263.5072326660156,38568900,simulated
1773,AAPL,259.6407775878906,38218500,simulated
1774,AAPL,251.4083709716797,45152300,simulated
1775,AAPL,255.3946990966797,40059400,simulated
1776,AAPL,263.15753173828125,43323100,simulated
1777,AAPL,279.88214111328125,79915400,simulated
1778,AAPL,298.2099914550781,35324900,simulated
1779,AAPL,308.3299865722656,48000500,simulated
1780,AAPL,301.5400085449219,77949100,simulated
1781,AAPL,295.6300048828125,42572500,simulated
1718,GOOGL,178.2555389404297,57759000,simulated
1719,GOOGL,183.99131774902344,18848900,simulated
1720,GOOGL,187.5339813232422,15121400,simulated
1721,GOOGL,176.3005828857422,18881900,simulated
1722,GOOGL,157.07879638671875,49004600,simulated
1723,GOOGL,161.04820251464844,15895300,simulated
1724,GOOGL,164.88861083984375,14190400,simulated
1725,GOOGL,149.76519775390625,37912100,simulated
1726,GOOGL,161.11285400390625,26587700,simulated
1727,GOOGL,165.93211364746094,28338100,simulated
1728,GOOGL,164.41184997558594,20247200,simulated
1729,GOOGL,161.89784240722656,21453400,simulated
1730,GOOGL,175.39181518554688,33695500,simulated
1731,GOOGL,174.1894989013672,20135300,simulated
1732,GOOGL,167.87969970703125,14257200,simulated
