"timestamp","ticker","price","volume","rolling_mean","rolling_std","zscore","rsi","time","diff"
"1719","AAPL","205.70806884765625","241805100.0","206.0302734375","0.3222045898437358","-0.9999999968964259","100.0","1782203617272","1"
"1719","AAPL","206.35247802734372","80727000.0","206.0302734375","0.3222045898437358","0.9999999968963377","100.0","1782203617272","1"
"1719","AAPL","205.70806884765625","241805100.0","206.0302734375","0.3222045898437358","-0.9999999968964259","0.0","1782203617272","1"
"1719","AAPL","206.35247802734372","80727000.0","206.0302734375","0.3222045898437358","0.9999999968963377","100.0","1782203617272","1"
"1719","AAPL","206.35247802734372","80727000.0","206.35247802734372","0.0","0.0","50.0","1782203617272","1"
"1719","AAPL","205.70806884765625","241805100.0","206.0302734375","0.3222045898437358","-0.9999999968964259","100.0","1782203617272","1"
"1719","AAPL","206.35247802734372","80727000.0","206.0302734375","0.3222045898437358","0.9999999968963377","0.0","1782203617272","1"
"1719","AAPL","206.35247802734372","80727000.0","206.0302734375","0.3222045898437358","0.9999999968963377","0.0","1782203617272","1"
"1719","AAPL","205.70806884765625","241805100.0","206.0302734375","0.3222045898437358","-0.9999999968964259","0.0","1782203617272","1"
"1718","AAPL","205.70806884765625","241805100.0","205.70806884765625","0.0","0.0","50.0","1782203617272","1"
"1719","AAPL","205.70806884765625","241805100.0","206.0302734375","0.3222045898437358","-0.9999999968964259","0.0","1782203617272","1"
"1719","AAPL","205.70806884765625","241805100.0","206.0302734375","0.3222045898437358","-0.9999999968964259","0.0","1782203617272","1"
"1719","AAPL","206.35247802734372","80727000.0","206.0302734375","0.3222045898437358","0.9999999968963377","100.0","1782203617272","1"
"1719","AAPL","206.35247802734372","80727000.0","206.0302734375","0.3222045898437358","0.9999999968963377","100.0","1782203617272","1"
"1719","AAPL","205.70806884765625","241805100.0","206.0302734375","0.3222045898437358","-0.9999999968964259","0.0","1782203617272","1"
"1719","AAPL","205.70806884765625","241805100.0","206.0302734375","0.3222045898437358","-0.9999999968964259","0.0","1782203617272","1"
"1719","AAPL","205.70806884765625","241805100.0","206.0302734375","0.3222045898437358","-0.9999999968964259","0.0","1782203617272","1"
"1719","AAPL","206.35247802734372","80727000.0","206.0302734375","0.3222045898437358","0.9999999968963377","100.0","1782203617272","1"
"1719","AAPL","206.35247802734372","80727000.0","206.0302734375","0.3222045898437358","0.9999999968963377","100.0","1782203617272","1"
"1719","AAPL","206.35247802734372","80727000.0","206.0302734375","0.3222045898437358","0.9999999968963377","100.0","1782203617272","1"
"1719","AAPL","205.70806884765625","241805100.0","206.0302734375","0.3222045898437358","-0.9999999968964259","0.0","1782203617272","1"
"1719","AAPL","205.70806884765625","241805100.0","206.0302734375","0.3222045898437358","-0.9999999968964259","100.0","1782203617296","-1"
